"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 16 21:44:43 MSK 2026","Mon Mar 16 21:44:43 MSK 2026","13","","com.todo.api.TaskApiMockServerTest","","com.todo.api.TaskApiMockServerTest","getTasksReturnsListOfTasks","GET /tasks — возвращает список задач","Сервис должен корректно десериализовать список задач из JSON-ответа"
"passed","Mon Mar 16 21:44:43 MSK 2026","Mon Mar 16 21:44:43 MSK 2026","16","","com.todo.api.TaskApiMockServerTest","","com.todo.api.TaskApiMockServerTest","updateTaskSendsPutAndReturnsUpdatedTask","PUT /tasks/{id} — обновление задачи","updateTask должен отправить PUT с телом и вернуть обновлённую задачу"
"passed","Mon Mar 16 21:44:46 MSK 2026","Mon Mar 16 21:44:46 MSK 2026","65","","com.todo.db.TaskDaoMockTest","","com.todo.db.TaskDaoMockTest","insertIsCalledExactlyOnce","Метод insert вызывается ровно один раз","Проверяем, что insert не вызывается лишних раз"
"passed","Mon Mar 16 21:44:46 MSK 2026","Mon Mar 16 21:44:46 MSK 2026","25","","com.todo.db.TaskDaoMockTest","","com.todo.db.TaskDaoMockTest","updateTaskReturnsAffectedRows","Обновление существующей задачи — возвращает 1 (строка обновлена)","update должен вернуть количество изменённых строк — 1 при успехе"
"passed","Mon Mar 16 21:44:46 MSK 2026","Mon Mar 16 21:44:46 MSK 2026","3","","com.todo.db.TaskDaoMockTest","","com.todo.db.TaskDaoMockTest","deleteNonExistentTaskReturnsZero","Удаление несуществующей задачи — возвращает 0","delete должен вернуть 0, если задачи с таким ID нет"
"passed","Mon Mar 16 21:44:41 MSK 2026","Mon Mar 16 21:44:42 MSK 2026","1006","","com.todo.api.TaskApiMockServerTest","","com.todo.api.TaskApiMockServerTest","deleteTaskReturnsTrueOnSuccess","DELETE /tasks/{id} — успешное удаление","deleteTask должен отправить DELETE и вернуть true при успехе"
"passed","Mon Mar 16 21:44:43 MSK 2026","Mon Mar 16 21:44:43 MSK 2026","55","","com.todo.api.TaskApiMockServerTest","","com.todo.api.TaskApiMockServerTest","getTaskByIdReturnsTask","GET /tasks/{id} — задача найдена","getTask должен вернуть задачу по её ID"
"passed","Mon Mar 16 21:44:46 MSK 2026","Mon Mar 16 21:44:46 MSK 2026","4","","com.todo.db.TaskDaoMockTest","","com.todo.db.TaskDaoMockTest","getByIdReturnsNullWhenNotFound","Получение задачи по несуществующему ID возвращает null","getById должен вернуть null, если задача с таким ID не найдена"
"passed","Mon Mar 16 21:44:43 MSK 2026","Mon Mar 16 21:44:43 MSK 2026","12","","com.todo.api.TaskApiMockServerTest","","com.todo.api.TaskApiMockServerTest","createTaskSendsCorrectContentType","POST /tasks — сервер возвращает заголовок Content-Type: application/json","Клиент должен отправлять запрос с корректным Content-Type"
"passed","Mon Mar 16 21:44:46 MSK 2026","Mon Mar 16 21:44:46 MSK 2026","3","","com.todo.db.TaskDaoMockTest","","com.todo.db.TaskDaoMockTest","getAllReturnsEmptyListWhenNoTasks","Получение всех задач на пустой базе — пустой список","getAll должен вернуть пустой список, если задач нет"
